words,links,capital_words,spam_word_count,is_spam
659,2,27,3,1
212,1,3,1,0
314,6,26,10,1
118,5,30,7,1
709,4,0,3,1
255,2,1,2,0
872,10,17,8,1
222,2,0,5,0
504,2,29,7,1
220,2,1,1,0
335,2,1,1,0
28,0,1,0,0
988,6,0,3,1
157,2,16,10,1
216,0,2,2,0
294,0,2,1,0
977,3,5,6,1
102,4,27,10,1
329,1,2,1,0
228,2,8,6,0
293,10,19,2,1
233,1,0,1,0
138,2,3,7,1
162,7,30,10,1
822,9,20,5,1
277,8,15,3,1
171,1,0,1,0
162,9,21,4,1
793,4,1,2,1
70,7,1,8,1
265,2,1,2,0
802,2,15,3,1
992,9,18,3,1
54,7,14,4,1
124,2,0,8,1
263,1,4,2,0
197,6,14,4,1
206,1,1,2,0
98,8,16,2,1
68,0,1,2,0
65,0,4,2,0
256,6,7,2,1
782,6,6,8,1
272,5,20,5,1
656,7,29,5,1
541,7,1,3,1
423,10,5,6,1
601,7,3,5,1
165,0,20,4,1
775,10,1,3,1
83,8,14,8,1
202,0,2,0,0
68,0,0,2,0
131,0,10,4,1
195,3,17,6,1
456,5,13,2,1
166,0,9,0,0
158,2,2,1,0
65,6,16,10,1
260,3,2,1,0
482,2,1,2,0
935,8,12,5,1
88,1,25,10,1
216,10,24,3,1
127,9,2,7,1
180,2,0,1,0
237,2,2,1,0
126,0,1,2,0
612,0,22,3,1
142,5,4,10,1
277,2,8,1,0
29,5,5,2,0
322,4,7,1,1
237,1,1,1,0
845,9,28,5,1
152,2,23,10,1
334,5,5,9,1
217,2,3,2,0
155,0,7,0,0
414,5,2,7,1
720,5,12,2,1
46,1,2,0,0
100,2,10,2,1
254,1,2,2,0
137,2,0,6,1
259,3,3,2,0
927,1,21,5,1
250,0,2,2,0
67,0,6,5,0
384,1,12,6,1
183,4,2,3,0
252,1,2,2,0
204,2,3,0,0
375,2,0,2,0
575,5,27,4,1
33,1,2,2,0
545,10,7,0,1
906,2,2,2,1
637,4,7,9,1
706,6,7,4,1
401,0,3,2,0
240,0,0,2,0
71,2,0,2,0
979,2,19,6,1
228,2,8,0,0
874,6,25,4,1
451,2,5,3,1
280,2,2,2,0
232,1,2,1,0
237,1,4,3,1
111,0,3,3,0
640,4,2,0,1
253,0,3,0,0
935,5,28,6,1
88,0,1,1,0
127,9,17,8,1
615,2,14,4,1
810,4,15,5,1
632,8,28,8,1
105,1,2,1,0
251,8,10,9,1
260,0,3,5,0
195,0,7,1,0
440,10,5,7,1
290,3,2,2,0
294,5,2,1,0
200,2,1,2,0
542,2,12,3,1
655,1,28,3,1
261,10,27,6,1
228,0,1,2,0
243,2,0,0,0
910,9,9,5,1
271,1,3,6,0
46,1,0,2,0
140,2,20,3,1
252,0,0,1,0
159,1,2,1,0
362,8,23,8,1
203,0,2,6,0
317,0,5,0,0
33,1,3,1,0
168,0,0,1,0
221,0,2,1,0
260,0,0,0,0
790,3,24,0,1
67,1,3,1,0
162,4,2,5,0
225,4,10,2,0
271,1,9,0,0
399,9,21,2,1
110,4,29,8,1
754,2,12,5,1
479,1,0,1,0
149,5,21,9,1
85,5,1,1,0
96,1,0,0,0
223,0,0,2,0
230,2,3,1,0
244,2,1,1,0
84,2,1,2,0
420,3,20,1,1
287,1,3,1,0
446,1,0,2,0
170,2,1,2,0
359,9,7,8,1
632,5,29,5,1
138,5,2,1,0
774,2,14,7,1
115,10,29,8,1
832,6,25,1,1
330,1,3,3,1
85,4,16,10,1
487,2,0,0,0
301,9,6,7,1
195,4,0,2,0
869,5,5,3,1
55,2,10,5,0
105,2,8,0,0
143,9,27,4,1
750,6,21,2,1
265,3,3,2,0
150,2,10,1,0
832,4,16,1,1
96,2,0,1,0
99,1,0,2,0
35,0,1,1,0
230,0,3,2,0
92,0,1,2,0
92,0,3,1,0
114,4,2,1,0
122,1,3,1,0
749,8,26,9,1
719,4,5,5,1
83,5,1,2,0
778,3,10,3,1
81,2,2,2,0
648,7,21,4,1
49,0,8,1,0
42,1,2,2,0
166,2,5,4,1
159,3,0,2,0
452,3,2,0,1
155,1,1,6,0
812,10,6,3,1
97,2,29,10,1
236,1,19,3,1
275,8,1,6,1
51,3,3,0,0
420,0,11,4,1
156,1,3,2,0
94,1,2,2,0
314,0,8,5,1
145,0,0,1,0
531,3,25,3,1
912,9,5,9,1
243,1,3,2,0
664,10,6,7,1
240,1,1,1,0
425,0,2,1,0
308,1,3,6,0
526,8,23,9,1
404,5,10,1,1
59,1,3,2,0
549,1,18,7,1
174,1,4,2,0
195,9,0,8,1
241,1,10,1,0
161,4,4,1,1
21,2,3,1,0
569,3,1,8,1
185,1,1,3,0
222,3,26,9,1
735,10,29,1,1
96,1,2,6,0
274,2,2,2,0
288,5,0,1,0
327,7,0,9,1
166,2,7,1,0
243,0,3,2,0
235,1,3,2,0
456,7,24,9,1
291,1,2,4,0
799,9,1,8,1
364,0,1,0,0
238,0,2,2,0
91,0,1,0,0
95,2,3,0,0
475,4,15,8,1
206,0,0,4,0
153,8,24,5,1
138,2,28,7,1
75,3,0,1,0
427,3,3,0,0
741,3,13,10,1
172,3,1,1,0
100,1,0,1,0
110,9,12,0,1
213,0,0,2,0
179,4,1,2,0
92,1,3,1,0
176,4,5,5,1
118,1,1,2,0
262,2,2,2,0
73,3,1,0,0
229,1,0,6,0
238,0,10,0,0
380,2,5,2,0
988,3,14,4,1
666,3,20,4,1
473,4,12,9,1
146,1,3,2,0
732,2,13,3,1
189,2,2,2,0
638,7,25,9,1
406,0,1,0,0
37,2,2,2,0
558,3,5,0,1
574,4,27,8,1
78,5,3,2,0
25,2,3,1,0
730,8,20,4,1
162,8,12,8,1
233,5,1,2,0
470,1,18,9,1
688,8,6,1,1
995,10,7,9,1
107,6,14,3,1
268,2,2,1,0
242,2,3,0,0
857,2,25,0,1
350,6,1,7,1
58,2,1,0,0
124,9,7,6,1
789,0,14,0,1
21,0,2,1,0
174,6,29,5,1
181,0,4,1,0
205,7,13,7,1
291,9,22,6,1
259,10,20,7,1
612,7,16,0,1
115,1,2,0,0
165,1,2,1,0
167,0,2,1,0
247,0,2,5,0
57,0,1,2,0
56,2,3,0,0
198,4,27,10,1
399,1,2,0,0
260,2,7,1,0
172,0,0,6,0
141,6,1,0,1
228,1,0,0,0
841,9,1,1,1
170,5,21,6,1
25,2,7,0,0
825,3,22,10,1
489,1,4,5,1
468,0,0,0,0
316,8,11,8,1
275,1,5,0,0
636,7,21,7,1
285,0,1,0,0
777,2,5,4,1
438,1,1,1,0
180,0,8,4,1
297,4,21,7,1
149,6,5,0,1
345,2,8,6,1
471,6,5,5,1
289,0,2,3,0
630,5,5,4,1
705,2,5,10,1
33,0,1,1,0
170,10,26,6,1
476,2,3,3,0
953,8,9,4,1
581,0,13,6,1
390,6,23,3,1
88,2,18,8,1
751,5,17,8,1
474,9,19,7,1
120,3,20,4,1
138,0,3,0,0
165,4,3,1,0
126,1,3,0,0
132,2,5,6,0
193,7,18,1,1
35,5,3,1,0
143,10,28,8,1
133,2,0,0,0
269,1,8,0,0
322,9,22,9,1
202,2,2,0,0
830,5,29,5,1
222,2,0,2,0
477,2,29,3,1
231,1,3,4,0
124,9,7,5,1
689,10,21,1,1
601,5,14,0,1
106,8,3,6,1
188,1,3,0,0
167,0,9,1,0
109,2,10,0,1
401,4,20,7,1
122,0,8,1,1
872,7,11,7,1
131,2,6,6,1
639,2,2,5,1
599,4,15,10,1
81,1,3,1,0
82,0,24,6,1
244,2,1,7,1
552,4,23,9,1
224,1,1,3,0
132,0,26,5,1
268,0,0,0,0
288,5,3,0,0
136,0,1,2,0
195,1,2,2,0
128,1,3,0,0
574,10,21,7,1
676,4,9,4,1
460,2,13,8,1
83,4,2,1,0
137,3,5,8,1
765,4,6,10,1
146,3,11,4,1
93,0,3,2,0
375,3,23,9,1
166,2,1,2,0
89,2,3,1,0
198,1,3,9,1
283,5,3,0,0
73,2,2,0,0
256,2,3,2,0
174,1,0,4,1
97,2,1,1,0
491,3,3,1,0
333,3,5,4,1
414,3,26,10,1
363,0,2,0,0
200,0,0,2,0
513,2,23,3,1
904,3,5,2,1
141,9,5,1,1
129,10,1,5,1
500,4,18,3,1
220,1,0,0,0
206,1,1,0,0
134,4,15,7,1
610,1,8,7,1
71,1,24,9,1
370,0,2,2,0
468,9,12,7,1
55,3,26,7,1
65,7,28,10,1
104,3,3,8,1
622,5,1,7,1
225,0,3,6,0
881,2,15,6,1
699,2,24,5,1
118,1,3,0,0
495,6,4,9,1
776,10,9,3,1
816,9,12,5,1
792,4,1,4,1
623,4,25,3,1
57,3,24,6,1
645,2,9,3,1
247,10,2,6,1
114,8,0,3,1
611,4,22,4,1
299,2,6,7,1
421,10,9,3,1
230,0,1,0,0
23,1,2,0,0
140,2,14,2,1
249,7,6,3,1
56,0,3,1,0
56,3,1,2,0
192,3,13,5,1
281,1,2,0,0
923,6,19,9,1
242,2,3,5,0
250,1,4,1,0
361,0,3,0,0
129,2,1,1,0
89,4,29,3,1
290,4,0,0,0
466,0,28,9,1
109,1,2,2,0
76,2,2,2,0
119,2,9,6,1
174,1,28,6,1
596,9,29,7,1
87,3,0,2,0
389,1,27,2,1
177,4,22,2,1
325,1,0,2,0
157,2,2,8,1
788,3,10,3,1
281,1,1,0,0
61,8,7,4,1
340,1,3,6,0
106,0,1,3,0
232,1,2,0,0
240,0,3,5,0
633,1,19,2,1
65,1,2,1,0
546,0,22,7,1
202,1,3,0,0
912,2,3,5,1
95,6,8,7,1
160,9,0,3,1
799,2,5,8,1
188,1,7,0,0
135,3,17,9,1
753,1,5,3,1
333,7,14,7,1
128,2,2,2,0
484,9,7,10,1
632,4,24,4,1
150,0,3,2,0
714,9,30,7,1
496,4,4,0,1
214,1,2,1,0
92,0,3,0,0
429,4,21,9,1
200,0,1,1,0
204,1,2,0,0
287,5,14,10,1
294,2,3,0,0
159,2,6,8,1
174,4,14,8,1
960,1,5,3,1
60,1,0,0,0
198,6,19,1,1
294,1,2,1,0
497,6,2,4,1
136,0,1,2,0
576,6,2,5,1
737,2,4,7,1
30,1,3,0,0
623,8,10,2,1
795,5,14,1,1
452,6,12,6,1
166,1,2,0,0
183,0,2,0,0
127,2,0,4,0
474,6,7,7,1
935,5,28,5,1
204,1,8,2,0
126,2,0,2,0
294,2,1,0,0
138,5,8,7,1
229,5,10,0,0
205,1,0,2,0
595,0,27,6,1
476,10,11,8,1
61,1,2,2,0
68,1,1,1,0
208,2,8,1,0
416,3,5,8,1
125,3,26,2,1
421,2,3,0,0
105,7,21,3,1
162,0,3,1,0
127,6,28,10,1
325,9,11,5,1
318,2,19,10,1
250,10,0,4,1
308,3,19,3,1
971,10,19,4,1
721,3,5,0,1
212,2,0,6,0
806,10,23,7,1
269,2,1,0,0
394,3,22,0,1
764,6,14,10,1
165,1,1,1,0
180,1,2,0,0
993,3,29,3,1
450,1,7,0,0
850,2,7,9,1
207,0,8,1,0
352,4,15,4,1
133,0,20,6,1
125,1,1,0,0
205,1,8,0,0
90,2,21,6,1
720,7,8,10,1
211,1,0,0,0
99,0,0,2,0
251,2,2,2,0
432,9,29,10,1
268,2,1,1,0
48,2,0,5,0
671,6,18,0,1
723,6,18,3,1
155,5,9,2,0
948,5,26,1,1
165,2,3,0,0
217,1,1,2,0
658,6,27,10,1
121,0,0,2,0
179,2,29,6,1
89,2,2,2,0
800,3,15,3,1
184,2,0,6,0
110,5,0,1,0
45,0,4,1,0
738,4,28,7,1
205,1,0,5,0
31,0,2,5,0
96,7,5,10,1
195,9,14,0,1
172,0,1,2,0
244,2,2,4,0
269,0,3,2,0
205,0,1,2,0
68,2,3,2,0
696,7,30,3,1
567,5,16,3,1
75,0,0,2,0
158,6,20,10,1
181,7,30,6,1
32,0,3,1,0
220,1,2,2,0
231,1,20,5,1
229,0,4,6,0
81,0,9,1,0
82,5,21,0,1
858,10,30,6,1
205,5,16,7,1
859,8,15,0,1
277,3,0,1,0
992,2,7,1,1
364,6,20,3,1
144,0,8,2,0
262,1,2,0,0
173,2,18,6,1
649,6,2,0,1
283,0,2,1,0
458,9,16,5,1
356,10,17,4,1
55,4,10,10,1
553,4,25,4,1
366,3,0,5,1
266,3,15,6,1
324,8,19,10,1
613,8,12,8,1
195,4,3,8,1
27,0,1,2,0
296,10,0,10,1
447,1,8,2,0
292,1,0,1,0
908,5,4,8,1
57,1,2,4,0
488,0,3,2,0
26,2,1,2,0
303,2,12,9,1
185,0,3,0,0
283,2,3,1,0
803,10,1,8,1
146,0,3,0,0
811,8,27,10,1
281,2,1,1,0
443,0,0,1,0
323,9,20,7,1
269,0,0,0,0
162,2,3,1,0
438,7,5,6,1
52,2,2,2,0
188,3,5,4,1
39,1,0,0,0
62,0,10,2,0
23,3,0,1,0
30,4,1,1,0
286,1,1,0,0
90,7,17,8,1
558,0,10,5,1
291,2,2,4,0
206,0,0,0,0
728,2,22,3,1
83,2,16,3,1
527,4,20,9,1
297,5,2,0,0
430,1,2,0,0
200,2,2,0,0
990,3,24,7,1
850,6,4,3,1
70,5,13,6,1
143,4,21,2,1
149,1,0,1,0
129,0,3,6,0
633,2,19,8,1
113,3,3,1,0
200,1,1,1,0
235,1,0,1,0
32,1,2,0,0
244,2,0,0,0
25,0,2,0,0
230,1,2,2,0
551,3,29,6,1
143,0,5,8,1
113,10,9,6,1
256,2,1,1,0
962,8,5,5,1
910,8,4,1,1
85,8,4,9,1
301,1,9,2,0
242,0,1,1,0
63,1,2,0,0
978,6,3,3,1
153,1,2,0,0
879,8,19,6,1
254,0,1,1,0
189,2,3,2,0
768,5,18,3,1
943,10,7,7,1
114,8,4,2,1
734,3,22,8,1
76,4,0,2,0
953,10,29,7,1
103,1,2,1,0
221,1,2,2,0
613,6,5,9,1
45,0,0,5,0
76,1,3,2,0
87,0,0,1,0
792,2,18,3,1
620,6,8,0,1
129,1,8,2,0
139,5,3,2,0
197,5,0,5,0
212,3,19,7,1
935,4,10,8,1
393,10,5,4,1
757,9,12,7,1
145,2,3,0,0
188,2,24,8,1
177,4,3,5,0
790,9,13,1,1
60,3,1,9,1
62,1,1,2,0
101,0,1,6,0
768,9,4,2,1
490,5,7,7,1
699,4,11,10,1
665,7,29,10,1
144,5,29,6,1
126,0,13,10,1
118,2,3,0,0
416,2,0,2,0
290,1,0,0,0
182,2,26,10,1
343,4,13,7,1
535,3,11,3,1
173,9,11,1,1
25,1,2,1,0
150,5,1,7,1
283,0,2,0,0
160,1,1,0,0
387,0,2,0,0
354,5,6,4,1
128,2,1,3,1
140,8,15,5,1
316,3,3,5,1
41,0,3,2,0
572,0,5,5,1
184,9,28,7,1
278,2,3,1,0
510,2,27,3,1
134,5,1,0,0
555,2,17,3,1
944,2,7,10,1
78,5,19,3,1
337,0,9,0,0
106,1,0,0,0
458,6,5,6,1
148,2,3,2,0
318,4,25,6,1
226,0,0,4,0
148,0,1,6,0
651,10,1,9,1
48,5,9,1,0
321,9,11,6,1
159,0,1,2,0
241,2,0,2,0
196,0,3,4,0
128,4,2,5,0
355,1,4,6,0
172,2,2,2,0
37,1,9,1,0
153,5,13,3,1
242,1,1,3,0
106,5,3,1,0
295,2,23,4,1
294,0,2,6,0
237,1,9,2,0
36,3,0,2,0
118,9,13,10,1
126,3,21,9,1
104,1,3,1,0
253,0,0,2,0
792,6,28,7,1
22,1,1,2,0
170,2,2,2,0
208,2,1,1,0
158,1,3,0,0
204,0,3,1,0
39,2,1,0,0
749,1,4,3,1
959,2,30,6,1
878,7,25,3,1
943,7,30,4,1
93,0,0,4,0
85,9,0,7,1
293,1,3,0,0
256,0,1,2,0
292,1,3,0,0
171,0,3,1,0
278,7,18,10,1
277,1,10,0,0
900,3,13,3,1
65,3,2,7,1
186,2,2,2,0
103,1,3,1,0
302,6,21,8,1
143,2,1,1,0
22,2,0,2,0
188,7,10,7,1
130,1,2,2,0
247,2,0,1,0
81,5,23,3,1
575,5,29,3,1
483,6,21,10,1
438,2,3,2,0
652,5,3,3,1
130,2,9,3,1
27,1,2,2,0
81,1,1,2,0
190,3,3,2,0
79,4,0,2,0
264,1,4,1,0
144,1,4,0,0
454,3,7,2,1
223,0,0,1,0
178,2,0,2,0
181,2,1,2,0
87,2,2,1,0
662,5,6,7,1
283,2,0,3,0
250,1,3,2,0
68,1,1,2,0
798,5,12,7,1
274,1,1,0,0
39,0,4,0,0
938,2,6,9,1
186,0,2,1,0
121,3,3,5,1
244,1,0,0,0
39,0,0,2,0
923,4,20,5,1
184,2,3,2,0
127,2,26,7,1
333,2,2,4,0
223,9,30,1,1
368,2,16,2,1
120,1,3,0,0
686,5,23,9,1
72,2,19,4,1
125,8,28,10,1
546,10,10,3,1
153,1,8,2,0
83,0,3,2,0
453,3,1,0,0
293,2,0,1,0
299,5,27,10,1
660,6,4,7,1
52,2,0,0,0
147,0,0,1,0
229,3,24,6,1
531,4,10,1,1
679,8,7,10,1
196,1,2,6,0
190,2,0,1,0
51,0,2,2,0
995,2,16,7,1
249,1,3,1,0
194,0,3,1,0
670,2,16,2,1
119,2,3,1,0
895,4,22,2,1
154,2,23,9,1
161,5,27,6,1
410,0,0,2,0
971,0,13,3,1
608,10,8,6,1
259,1,0,0,0
146,0,2,0,0
231,1,3,6,0
630,8,27,5,1
244,2,0,1,0
962,2,19,8,1
54,0,3,1,0
693,9,26,2,1
33,1,1,1,0
29,4,3,5,0
955,5,11,5,1
82,3,1,10,1
333,1,5,10,1
727,2,1,10,1
117,2,24,5,1
285,1,2,1,0
194,2,0,5,0
80,10,25,7,1
179,0,1,2,0
73,1,3,1,0
114,0,8,1,0
425,6,2,5,1
22,2,2,2,0
805,3,30,0,1
142,0,0,1,0
53,2,16,6,1
825,5,5,0,1
290,0,3,6,0
164,9,25,6,1
328,1,2,1,0
132,0,1,0,0
148,8,4,8,1
136,4,16,10,1
456,3,11,10,1
352,2,0,5,0
498,3,10,4,1
349,10,25,6,1
120,0,17,6,1
77,7,4,1,1
113,0,3,2,0
715,9,28,5,1
820,10,5,9,1
250,3,7,0,0
134,8,21,1,1
260,1,2,2,0
266,1,1,0,0
338,2,1,2,0
840,7,24,5,1
467,8,1,8,1
776,7,28,7,1
717,8,22,7,1
784,4,12,10,1
573,5,27,4,1
298,3,1,2,0
232,1,2,2,0
111,2,7,3,1
119,0,27,7,1
495,1,1,3,0
126,4,3,1,0
188,0,0,2,0
178,2,5,3,1
180,1,4,1,0
769,10,3,5,1
175,5,6,9,1
781,8,22,2,1
73,9,5,0,1
255,1,2,0,0
154,5,0,2,0
598,9,20,6,1
167,2,17,6,1
88,4,0,1,0
615,9,7,6,1
330,10,10,5,1
924,8,15,10,1
231,3,9,9,1
364,1,1,1,0
134,2,1,2,0
429,2,2,1,0
258,1,3,1,0
52,3,0,2,0
107,2,2,1,0
211,1,2,2,0
871,8,6,6,1
57,8,15,6,1
221,1,0,0,0
635,7,23,1,1
26,1,2,3,0
30,1,2,2,0
458,2,2,2,0
472,2,1,2,0
214,2,3,0,0
259,8,21,9,1
176,8,24,1,1
710,2,6,7,1
195,2,0,1,0
118,1,3,0,0
289,0,0,2,0
637,8,26,10,1
35,2,3,0,0
425,1,0,0,0
49,2,3,2,0
442,4,2,10,1
723,8,30,6,1
291,1,1,2,0
64,0,0,2,0
241,5,26,3,1
719,9,2,8,1
951,9,2,4,1
72,2,0,2,0
322,0,2,4,0
274,4,3,4,0
164,1,1,0,0
227,2,0,2,0
610,8,18,3,1
100,3,11,8,1
280,1,0,1,0
284,2,6,1,0
107,2,2,6,0
568,8,20,0,1
300,2,1,4,0
100,7,20,5,1
232,0,4,8,1
171,1,0,5,1
255,4,1,4,0
209,3,0,6,0
402,2,3,2,0
274,0,19,6,1
160,2,2,2,0
670,2,13,10,1
131,1,0,1,0
33,2,1,1,0
519,6,8,6,1
168,2,7,2,0
341,3,11,8,1
198,5,27,0,1
344,1,0,0,0
284,2,3,4,0
565,7,20,1,1
65,2,8,0,0
431,6,20,10,1
72,2,1,2,0
331,2,1,1,0
818,4,7,5,1
892,9,20,3,1
902,7,9,1,1
255,0,24,10,1
156,2,2,5,0
916,6,22,7,1
413,8,28,4,1
210,5,2,1,0
874,8,5,8,1
161,9,17,9,1
112,3,13,7,1
113,0,2,4,0
58,1,0,1,0
616,2,13,6,1
310,0,2,8,1
131,8,10,3,1
189,10,26,4,1
282,0,1,4,0
319,1,3,2,0
278,2,7,7,1
172,0,0,3,0
237,8,10,3,1
136,9,10,3,1
81,10,0,8,1
301,10,30,3,1
226,2,0,1,0
468,7,20,0,1
39,2,3,2,0
393,7,20,4,1
342,10,8,4,1
254,0,0,1,0
68,2,2,0,0
403,3,4,4,1
270,0,4,5,0
731,0,21,3,1
221,1,2,0,0
258,0,2,2,0
137,7,18,7,1
324,0,8,3,0
190,3,26,2,1
142,9,8,8,1
156,0,0,2,0
589,8,20,6,1
21,1,7,3,0
195,5,1,1,0
292,2,0,5,0
302,0,11,7,1
878,2,4,7,1
125,1,0,2,0
118,1,7,0,0
165,1,0,0,0
430,7,5,9,1
393,4,6,9,1
761,5,29,7,1
816,0,20,7,1
282,0,5,6,0
302,9,22,8,1
155,9,30,1,1
87,0,3,2,0
204,2,3,0,0
45,2,1,5,0
267,2,1,0,0
838,2,2,3,1
197,0,0,1,0
951,6,21,10,1
283,4,26,6,1
299,1,2,2,0
242,1,2,1,0
863,7,17,5,1
933,3,29,4,1
134,0,2,5,0
233,0,3,2,0
412,1,2,2,0
196,1,1,2,0
246,1,7,0,0
184,3,2,2,0
218,1,3,3,0
593,4,20,3,1
484,0,28,4,1
935,9,17,10,1
784,9,6,3,1
723,2,3,5,1
146,4,12,7,1
168,3,27,5,1
50,1,1,0,0
217,7,23,7,1
528,9,16,9,1
122,4,0,4,0
238,2,2,5,0
134,2,22,9,1
481,7,6,4,1
724,6,0,10,1
193,2,0,0,0
60,1,3,0,0
187,0,2,2,0
231,0,4,2,0
93,4,0,6,0
55,2,1,0,0
819,8,14,7,1
286,0,3,2,0
32,4,3,2,0
296,2,1,2,0
144,2,3,1,0
379,1,0,0,0
892,6,8,6,1
153,0,3,2,0
182,1,0,1,0
391,2,2,6,0
208,1,2,0,0
360,2,1,5,0
863,2,22,10,1
803,0,16,5,1
517,6,6,7,1
130,0,1,2,0
160,0,3,2,0
174,4,7,2,0
204,2,1,2,0
58,4,3,2,0
278,4,0,0,0
256,3,23,4,1
273,2,26,6,1
272,1,1,2,0
127,2,2,5,0
848,2,1,4,1
778,4,28,6,1
947,8,23,4,1
276,4,3,1,0
112,1,0,6,0
269,1,3,3,0
133,2,1,0,1
57,5,12,7,1
891,9,28,0,1
458,5,22,9,1
372,9,21,5,1
169,8,25,9,1
363,1,2,0,0
64,1,5,2,0
244,6,6,3,1
203,2,24,2,1
187,2,0,2,0
740,8,14,6,1
20,2,3,0,0
247,8,8,8,1
258,5,9,2,0
37,1,2,2,0
149,3,25,6,1
216,1,0,5,0
869,5,24,3,1
192,2,30,7,1
951,8,8,6,1
292,2,2,2,0
599,2,18,9,1
153,3,30,3,1
232,2,30,6,1
152,5,23,6,1
154,2,3,5,0
275,0,1,3,0
431,4,5,5,1
153,1,1,1,0
256,0,1,1,0
489,5,28,0,1
268,4,1,1,0
165,0,3,1,0
90,2,8,1,0
600,8,15,6,1
34,0,0,2,0
282,2,1,0,0
148,2,15,3,1
510,4,21,9,1
286,1,10,2,0
259,0,0,1,0
477,10,15,8,1
244,3,1,2,0
74,1,3,0,0
21,0,1,1,0
163,0,3,4,0
224,5,3,1,0
137,2,30,10,1
207,6,2,5,1
386,10,26,2,1
489,2,1,0,0
113,2,1,1,0
62,0,3,3,0
151,1,0,6,0
117,2,29,9,1
212,2,3,1,0
106,7,8,3,1
318,3,2,7,1
57,7,5,1,1
173,2,3,0,0
637,3,30,1,1
101,1,7,7,1
186,2,5,6,1
357,1,3,1,0
43,0,0,0,0
170,8,23,4,1
209,0,2,1,0
333,10,13,6,1
229,1,3,2,0
247,1,7,6,1
616,3,8,7,1
66,3,18,8,1
204,1,0,6,0
205,1,1,1,0
408,0,24,8,1
372,1,2,2,0
80,3,13,6,1
288,3,6,1,0
59,1,0,1,0
161,4,8,8,1
440,3,25,0,1
174,4,0,1,0
279,2,2,5,0
145,1,2,0,0
304,0,4,1,0
62,1,18,2,1
187,4,18,3,1
371,0,4,6,1
242,2,2,1,0
333,10,0,0,1
288,10,21,3,1
111,1,3,1,0
211,1,0,5,0
791,9,27,6,1
706,4,6,7,1
383,4,15,5,1
252,9,29,3,1
496,1,0,0,0
397,1,1,2,0
463,8,7,8,1
569,7,10,5,1
165,1,10,1,0
328,10,1,4,1
875,8,9,0,1
145,1,3,2,0
226,3,5,5,1
760,10,9,7,1
